2022-11-02 06:40:58 startup archives unpack
2022-11-02 06:40:59 upgrade libssl3:arm64 3.0.2-0ubuntu1.6 3.0.2-0ubuntu1.7
2022-11-02 06:40:59 status triggers-pending libc-bin:arm64 2.35-0ubuntu3.1
2022-11-02 06:40:59 status half-configured libssl3:arm64 3.0.2-0ubuntu1.6
2022-11-02 06:40:59 status unpacked libssl3:arm64 3.0.2-0ubuntu1.6
2022-11-02 06:40:59 status half-installed libssl3:arm64 3.0.2-0ubuntu1.6
2022-11-02 06:41:00 status unpacked libssl3:arm64 3.0.2-0ubuntu1.7
2022-11-02 06:41:01 startup packages configure
2022-11-02 06:41:01 configure libssl3:arm64 3.0.2-0ubuntu1.7 <none>
2022-11-02 06:41:01 status unpacked libssl3:arm64 3.0.2-0ubuntu1.7
2022-11-02 06:41:01 status half-configured libssl3:arm64 3.0.2-0ubuntu1.7
2022-11-02 06:41:01 status installed libssl3:arm64 3.0.2-0ubuntu1.7
2022-11-02 06:41:02 startup packages configure
2022-11-02 06:41:02 trigproc libc-bin:arm64 2.35-0ubuntu3.1 <none>
2022-11-02 06:41:02 status half-configured libc-bin:arm64 2.35-0ubuntu3.1
2022-11-02 06:41:02 status installed libc-bin:arm64 2.35-0ubuntu3.1
2022-11-02 06:41:22 startup archives unpack
2022-11-02 06:41:23 upgrade openssl:arm64 3.0.2-0ubuntu1.6 3.0.2-0ubuntu1.7
2022-11-02 06:41:23 status half-configured openssl:arm64 3.0.2-0ubuntu1.6
2022-11-02 06:41:23 status unpacked openssl:arm64 3.0.2-0ubuntu1.6
2022-11-02 06:41:23 status half-installed openssl:arm64 3.0.2-0ubuntu1.6
2022-11-02 06:41:23 status triggers-pending man-db:arm64 2.10.2-1
2022-11-02 06:41:23 status unpacked openssl:arm64 3.0.2-0ubuntu1.7
2022-11-02 06:41:24 startup packages configure
2022-11-02 06:41:24 configure openssl:arm64 3.0.2-0ubuntu1.7 <none>
2022-11-02 06:41:24 status unpacked openssl:arm64 3.0.2-0ubuntu1.7
2022-11-02 06:41:24 status half-configured openssl:arm64 3.0.2-0ubuntu1.7
2022-11-02 06:41:24 status installed openssl:arm64 3.0.2-0ubuntu1.7
2022-11-02 06:41:24 trigproc man-db:arm64 2.10.2-1 <none>
2022-11-02 06:41:24 status half-configured man-db:arm64 2.10.2-1
2022-11-02 06:41:25 status installed man-db:arm64 2.10.2-1
2022-11-03 06:00:36 startup archives unpack
2022-11-03 06:00:36 upgrade ntfs-3g:arm64 1:2021.8.22-3ubuntu1.1 1:2021.8.22-3ubuntu1.2
2022-11-03 06:00:36 status triggers-pending initramfs-tools:all 0.140ubuntu13
2022-11-03 06:00:36 status half-configured ntfs-3g:arm64 1:2021.8.22-3ubuntu1.1
2022-11-03 06:00:36 status unpacked ntfs-3g:arm64 1:2021.8.22-3ubuntu1.1
2022-11-03 06:00:36 status half-installed ntfs-3g:arm64 1:2021.8.22-3ubuntu1.1
2022-11-03 06:00:36 status triggers-pending man-db:arm64 2.10.2-1
2022-11-03 06:00:36 status unpacked ntfs-3g:arm64 1:2021.8.22-3ubuntu1.2
2022-11-03 06:00:37 upgrade libntfs-3g89:arm64 1:2021.8.22-3ubuntu1.1 1:2021.8.22-3ubuntu1.2
2022-11-03 06:00:37 status triggers-pending libc-bin:arm64 2.35-0ubuntu3.1
2022-11-03 06:00:37 status half-configured libntfs-3g89:arm64 1:2021.8.22-3ubuntu1.1
2022-11-03 06:00:37 status unpacked libntfs-3g89:arm64 1:2021.8.22-3ubuntu1.1
2022-11-03 06:00:37 status half-installed libntfs-3g89:arm64 1:2021.8.22-3ubuntu1.1
2022-11-03 06:00:37 status unpacked libntfs-3g89:arm64 1:2021.8.22-3ubuntu1.2
2022-11-03 06:00:37 startup packages configure
2022-11-03 06:00:37 configure libntfs-3g89:arm64 1:2021.8.22-3ubuntu1.2 <none>
2022-11-03 06:00:37 status unpacked libntfs-3g89:arm64 1:2021.8.22-3ubuntu1.2
2022-11-03 06:00:37 status half-configured libntfs-3g89:arm64 1:2021.8.22-3ubuntu1.2
2022-11-03 06:00:37 status installed libntfs-3g89:arm64 1:2021.8.22-3ubuntu1.2
2022-11-03 06:00:37 configure ntfs-3g:arm64 1:2021.8.22-3ubuntu1.2 <none>
2022-11-03 06:00:37 status unpacked ntfs-3g:arm64 1:2021.8.22-3ubuntu1.2
2022-11-03 06:00:37 status half-configured ntfs-3g:arm64 1:2021.8.22-3ubuntu1.2
2022-11-03 06:00:37 status installed ntfs-3g:arm64 1:2021.8.22-3ubuntu1.2
2022-11-03 06:00:37 trigproc libc-bin:arm64 2.35-0ubuntu3.1 <none>
2022-11-03 06:00:37 status half-configured libc-bin:arm64 2.35-0ubuntu3.1
2022-11-03 06:00:38 status installed libc-bin:arm64 2.35-0ubuntu3.1
2022-11-03 06:00:38 trigproc man-db:arm64 2.10.2-1 <none>
2022-11-03 06:00:38 status half-configured man-db:arm64 2.10.2-1
2022-11-03 06:00:38 status installed man-db:arm64 2.10.2-1
2022-11-03 06:00:38 trigproc initramfs-tools:all 0.140ubuntu13 <none>
2022-11-03 06:00:38 status half-configured initramfs-tools:all 0.140ubuntu13
2022-11-03 06:01:25 status installed initramfs-tools:all 0.140ubuntu13
2022-11-04 06:27:35 startup archives unpack
2022-11-04 06:27:35 upgrade python3.10-venv:arm64 3.10.6-1~22.04 3.10.6-1~22.04.1
2022-11-04 06:27:35 status half-configured python3.10-venv:arm64 3.10.6-1~22.04
2022-11-04 06:27:36 status unpacked python3.10-venv:arm64 3.10.6-1~22.04
2022-11-04 06:27:36 status half-installed python3.10-venv:arm64 3.10.6-1~22.04
2022-11-04 06:27:36 status unpacked python3.10-venv:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:36 upgrade python3.10-dev:arm64 3.10.6-1~22.04 3.10.6-1~22.04.1
2022-11-04 06:27:36 status half-configured python3.10-dev:arm64 3.10.6-1~22.04
2022-11-04 06:27:36 status unpacked python3.10-dev:arm64 3.10.6-1~22.04
2022-11-04 06:27:36 status half-installed python3.10-dev:arm64 3.10.6-1~22.04
2022-11-04 06:27:36 status triggers-pending man-db:arm64 2.10.2-1
2022-11-04 06:27:36 status unpacked python3.10-dev:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:37 upgrade libpython3.10-dev:arm64 3.10.6-1~22.04 3.10.6-1~22.04.1
2022-11-04 06:27:37 status half-configured libpython3.10-dev:arm64 3.10.6-1~22.04
2022-11-04 06:27:37 status unpacked libpython3.10-dev:arm64 3.10.6-1~22.04
2022-11-04 06:27:37 status half-installed libpython3.10-dev:arm64 3.10.6-1~22.04
2022-11-04 06:27:38 status unpacked libpython3.10-dev:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:38 upgrade libpython3.10:arm64 3.10.6-1~22.04 3.10.6-1~22.04.1
2022-11-04 06:27:38 status triggers-pending libc-bin:arm64 2.35-0ubuntu3.1
2022-11-04 06:27:38 status half-configured libpython3.10:arm64 3.10.6-1~22.04
2022-11-04 06:27:38 status unpacked libpython3.10:arm64 3.10.6-1~22.04
2022-11-04 06:27:38 status half-installed libpython3.10:arm64 3.10.6-1~22.04
2022-11-04 06:27:38 status unpacked libpython3.10:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:39 upgrade python3.10:arm64 3.10.6-1~22.04 3.10.6-1~22.04.1
2022-11-04 06:27:39 status half-configured python3.10:arm64 3.10.6-1~22.04
2022-11-04 06:27:39 status unpacked python3.10:arm64 3.10.6-1~22.04
2022-11-04 06:27:39 status half-installed python3.10:arm64 3.10.6-1~22.04
2022-11-04 06:27:39 status triggers-pending mailcap:all 3.70+nmu1ubuntu1
2022-11-04 06:27:39 status triggers-pending gnome-menus:arm64 3.36.0-1ubuntu3
2022-11-04 06:27:39 status triggers-pending desktop-file-utils:arm64 0.26-1ubuntu3
2022-11-04 06:27:40 status unpacked python3.10:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:41 upgrade python3.10-minimal:arm64 3.10.6-1~22.04 3.10.6-1~22.04.1
2022-11-04 06:27:41 status half-configured python3.10-minimal:arm64 3.10.6-1~22.04
2022-11-04 06:27:41 status unpacked python3.10-minimal:arm64 3.10.6-1~22.04
2022-11-04 06:27:41 status half-installed python3.10-minimal:arm64 3.10.6-1~22.04
2022-11-04 06:27:42 status unpacked python3.10-minimal:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:42 upgrade libpython3.10-stdlib:arm64 3.10.6-1~22.04 3.10.6-1~22.04.1
2022-11-04 06:27:42 status half-configured libpython3.10-stdlib:arm64 3.10.6-1~22.04
2022-11-04 06:27:42 status unpacked libpython3.10-stdlib:arm64 3.10.6-1~22.04
2022-11-04 06:27:42 status half-installed libpython3.10-stdlib:arm64 3.10.6-1~22.04
2022-11-04 06:27:43 status unpacked libpython3.10-stdlib:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:43 upgrade libpython3.10-minimal:arm64 3.10.6-1~22.04 3.10.6-1~22.04.1
2022-11-04 06:27:43 status half-configured libpython3.10-minimal:arm64 3.10.6-1~22.04
2022-11-04 06:27:44 status unpacked libpython3.10-minimal:arm64 3.10.6-1~22.04
2022-11-04 06:27:44 status half-installed libpython3.10-minimal:arm64 3.10.6-1~22.04
2022-11-04 06:27:45 status unpacked libpython3.10-minimal:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:46 startup packages configure
2022-11-04 06:27:46 configure libpython3.10-minimal:arm64 3.10.6-1~22.04.1 <none>
2022-11-04 06:27:46 status unpacked libpython3.10-minimal:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:46 status half-configured libpython3.10-minimal:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:46 status installed libpython3.10-minimal:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:46 configure python3.10-minimal:arm64 3.10.6-1~22.04.1 <none>
2022-11-04 06:27:46 status unpacked python3.10-minimal:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:46 status half-configured python3.10-minimal:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:48 status installed python3.10-minimal:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:48 configure libpython3.10-stdlib:arm64 3.10.6-1~22.04.1 <none>
2022-11-04 06:27:48 status unpacked libpython3.10-stdlib:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:48 status half-configured libpython3.10-stdlib:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:48 status installed libpython3.10-stdlib:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:48 configure libpython3.10:arm64 3.10.6-1~22.04.1 <none>
2022-11-04 06:27:48 status unpacked libpython3.10:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:49 status half-configured libpython3.10:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:49 status installed libpython3.10:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:49 configure python3.10:arm64 3.10.6-1~22.04.1 <none>
2022-11-04 06:27:49 status unpacked python3.10:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:49 status half-configured python3.10:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:51 status installed python3.10:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:51 configure libpython3.10-dev:arm64 3.10.6-1~22.04.1 <none>
2022-11-04 06:27:51 status unpacked libpython3.10-dev:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:51 status half-configured libpython3.10-dev:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:51 status installed libpython3.10-dev:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:51 configure python3.10-dev:arm64 3.10.6-1~22.04.1 <none>
2022-11-04 06:27:51 status unpacked python3.10-dev:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:51 status half-configured python3.10-dev:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:51 status installed python3.10-dev:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:51 configure python3.10-venv:arm64 3.10.6-1~22.04.1 <none>
2022-11-04 06:27:51 status unpacked python3.10-venv:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:51 status half-configured python3.10-venv:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:51 status installed python3.10-venv:arm64 3.10.6-1~22.04.1
2022-11-04 06:27:51 trigproc libc-bin:arm64 2.35-0ubuntu3.1 <none>
2022-11-04 06:27:51 status half-configured libc-bin:arm64 2.35-0ubuntu3.1
2022-11-04 06:27:52 status installed libc-bin:arm64 2.35-0ubuntu3.1
2022-11-04 06:27:52 trigproc man-db:arm64 2.10.2-1 <none>
2022-11-04 06:27:52 status half-configured man-db:arm64 2.10.2-1
2022-11-04 06:27:53 status installed man-db:arm64 2.10.2-1
2022-11-04 06:27:53 trigproc mailcap:all 3.70+nmu1ubuntu1 <none>
2022-11-04 06:27:53 status half-configured mailcap:all 3.70+nmu1ubuntu1
2022-11-04 06:27:53 status installed mailcap:all 3.70+nmu1ubuntu1
2022-11-04 06:27:53 trigproc desktop-file-utils:arm64 0.26-1ubuntu3 <none>
2022-11-04 06:27:53 status half-configured desktop-file-utils:arm64 0.26-1ubuntu3
2022-11-04 06:27:53 status installed desktop-file-utils:arm64 0.26-1ubuntu3
2022-11-04 06:27:53 trigproc gnome-menus:arm64 3.36.0-1ubuntu3 <none>
2022-11-04 06:27:53 status half-configured gnome-menus:arm64 3.36.0-1ubuntu3
2022-11-04 06:27:53 status installed gnome-menus:arm64 3.36.0-1ubuntu3
2022-11-04 06:28:12 startup archives unpack
